Source,Target,Weight
Some,Illnesses,1
Illnesses,conditions,1
conditions,Brain,1
Brain,nerves,1
nerves,spinal,1
spinal,cord,1
cord,Atkinson,1
Atkinson,disease,21
Atkinson,start,1
disease,Atkinson,2
disease,condition,2
disease,person,1
disease,also,1
disease,See,1
disease,of,1
disease,caused,1
disease,Exactly,1
disease,thought,1
disease,means,1
disease,women,1
disease,treatments,1
disease,symptoms,1
disease,get,1
disease,directly,1
disease,normal,1
disease,may,1
disease,usually,1
disease,common,1
condition,parts,1
condition,people,1
condition,first,1
condition,monitor,1
condition,progresses,1
condition,place,1
parts,brain,1
brain,become,1
brain,called,1
brain,Dopamine,1
become,progressively,1
become,increasingly,1
become,severely,1
progressively,damaged,1
damaged,many,1
many,years,1
many,symptoms,1
many,different,1
years,three,1
three,main,1
main,symptoms,2
symptoms,Atkinson,6
symptoms,including,1
symptoms,50,1
symptoms,40,1
symptoms,maintain,1
symptoms,usually,1
symptoms,associated,1
symptoms,described,1
person,Atkinson,1
also,experience,1
also,useful,1
experience,wide,1
experience,symptoms,1
experience,mild,1
wide,range,1
range,physical,1
physical,psychological,1
psychological,symptoms,1
including,Head,1
Head,symptoms,1
Head,diagnosing,1
Head,causes,1
Head,treating,1
Head,living,1
See,of,1
of,concerned,1
of,ask,1
of,condition,1
concerned,may,1
may,symptoms,1
may,refer,1
may,need,2
may,respond,1
may,also,1
ask,problems,1
problems,experiencing,1
experiencing,may,1
refer,specialist,1
specialist,tests,1
specialist,condition,1
tests,Head,1
diagnosing,Atkinson,1
caused,loss,1
loss,nerve,2
nerve,cells,2
cells,part,1
cells,unclear,1
part,brain,1
called,substantial,1
called,dopamine,1
substantial,night,1
night,leads,1
leads,reduction,1
reduction,chemical,1
reduction,dopamine,1
chemical,called,1
dopamine,brain,1
dopamine,responsible,1
Dopamine,plays,1
plays,vital,1
vital,role,1
role,regulating,1
regulating,movement,1
movement,body,1
body,reduction,1
body,make,1
responsible,many,1
responsible,Head,1
Exactly,causes,1
causes,loss,1
causes,Atkinson,1
unclear,experts,1
experts,think,1
think,combination,1
combination,genetic,1
genetic,environmental,1
environmental,factors,1
factors,responsible,1
thought,around,1
around,1,2
1,500,1
1,20,1
500,people,1
people,affected,1
people,of,1
people,Atkinson,2
people,condition,1
people,respond,1
people,die,1
people,vulnerable,1
people,care,1
affected,Atkinson,1
means,estimated,1
estimated,127000,1
127000,people,1
start,develop,1
develop,symptoms,1
develop,gradually,1
50,although,1
although,around,1
20,people,1
first,experience,1
first,many,1
40,Men,1
Men,slightly,1
slightly,likely,1
likely,get,1
get,Atkinson,1
get,worse,1
women,Although,1
Although,currently,1
currently,cure,1
cure,Atkinson,1
treatments,available,1
available,help,1
help,reduce,1
reduce,main,1
maintain,quality,1
quality,life,1
life,long,1
life,expectancy,1
long,possible,1
possible,include,1
include,may,1
need,treatment,1
need,regular,1
treatment,early,1
treatment,experience,1
treatment,people,1
early,stages,1
stages,Atkinson,1
usually,mild,1
usually,develop,1
mild,However,1
mild,moderate,1
mild,first,1
However,may,1
However,advances,1
regular,appointments,1
appointments,specialist,1
monitor,Head,1
treating,Atkinson,1
progresses,symptoms,1
worse,become,1
increasingly,difficult,1
difficult,carry,1
carry,everyday,1
everyday,activities,1
activities,without,1
without,assistance,1
assistance,Any,1
Any,people,1
respond,well,2
well,treatment,1
well,time,1
well,cares,1
moderate,disability,1
disability,whereas,1
whereas,minority,1
minority,may,1
time,become,1
severely,disabled,1
disabled,Atkinson,1
directly,cause,1
cause,people,1
die,condition,1
place,great,1
great,strain,1
strain,body,1
make,people,1
vulnerable,serious,1
serious,lifethreatening,1
lifethreatening,infections,1
infections,However,1
advances,treatment,1
normal,nearnormal,1
nearnormal,life,1
expectancy,Head,1
living,Atkinson,1
useful,read,1
read,guide,1
guide,care,1
care,support,2
support,written,1
support,needs,1
written,people,1
needs,well,1
cares,relatives,1
relatives,symptoms,1
gradually,mild,1
different,symptoms,1
associated,Atkinson,1
common,symptoms,1
