Source,Target,Weight
Some,Illnesses,1
Illnesses,conditions,1
conditions,Mental,1
conditions,individual,1
conditions,need,1
Mental,health,1
health,Personality,1
health,problems,2
Personality,disorder,1
Personality,disorders,3
disorder,Personality,1
disorder,include,1
disorder,extremely,1
disorder,may,2
disorder,likely,1
disorder,sees,1
disorder,person,1
disorder,anxious,1
disorder,swing,1
disorder,Unlike,1
disorder,feels,1
disorder,differs,1
disorder,OCD,1
disorders,conditions,1
disorders,often,1
disorders,common,1
disorders,may,1
disorders,person,2
disorders,desire,1
individual,differs,1
differs,significantly,1
differs,obsessive,1
significantly,average,1
average,person,1
person,may,2
person,feels,1
person,paranoid,1
person,schizotypal,1
person,antisocial,1
person,bordering,1
person,histrionic,1
person,narcissistic,1
person,avoiding,1
person,dependent,1
person,obsessive,1
may,related,1
may,upset,1
may,also,4
may,include,1
may,mild,1
may,periods,1
may,associated,1
may,need,1
may,appear,1
may,intimidate,1
may,coexist,1
may,act,1
may,show,1
may,come,1
related,Changes,1
Changes,person,1
feels,distorted,1
feels,independent,1
distorted,beliefs,1
beliefs,people,1
people,lead,1
people,may,1
people,People,1
people,mild,1
people,vulnerable,1
people,look,1
people,schizoid,1
lead,odd,1
odd,behaviour,1
behaviour,distressing,1
distressing,may,1
upset,others,1
others,Common,1
others,features,1
others,without,1
others,However,1
others,look,1
others,control,1
Common,features,1
features,personality,1
features,include,5
personality,disorder,12
personality,disorders,4
include,people,1
include,abusing,1
include,threatening,1
include,Someone,1
include,person,5
include,Symptoms,1
include,personality,1
also,difficulty,1
also,avoid,1
also,attach,1
also,urge,1
also,show,1
difficulty,managing,1
managing,negative,1
negative,feelings,1
feelings,without,1
without,selfharming,1
without,remorse,1
selfharming,include,1
abusing,drugs,1
drugs,alcohol,1
alcohol,taking,1
taking,overdoses,1
overdoses,rare,1
rare,cases,1
cases,may,1
threatening,people,1
People,personality,1
People,may,1
People,severe,1
often,experience,1
experience,mental,1
mental,health,2
problems,includes,1
problems,usually,1
problems,may,1
includes,depression,1
depression,substance,1
substance,disuse,1
disuse,Symptoms,1
Symptoms,typically,1
Symptoms,include,1
Symptoms,signs,1
typically,get,1
get,worse,1
worse,stress,1
stress,Personality,1
stress,bereavement,1
common,mental,1
common,Any,1
usually,emerge,1
emerge,adolescence,1
adolescence,continue,1
continue,adulthood,1
adulthood,may,1
mild,moderate,1
mild,conditions,1
moderate,severe,1
severe,People,1
severe,problems,1
periods,remission,1
remission,function,1
function,well,1
well,Personality,1
associated,genetic,1
genetic,family,1
family,factors,1
factors,Experiences,1
Experiences,distress,1
distress,fear,1
fear,childhood,1
childhood,like,1
like,neglect,1
neglect,abuse,1
abuse,common,1
Any,people,1
need,help,1
need,specialist,1
need,people,1
need,others,1
help,times,1
help,longer,1
times,stress,1
bereavement,People,1
specialist,help,1
longer,different,1
different,types,1
types,personality,1
paranoid,personality,1
extremely,distrustful,1
distrustful,suspicious,1
suspicious,features,1
Someone,schizoid,1
schizoid,personality,2
appear,cold,1
cold,detached,1
detached,may,1
avoid,making,1
making,close,1
close,social,1
close,relationships,1
social,contact,1
contact,others,1
schizotypal,personality,1
likely,features,1
attach,undue,1
undue,disguised,1
disguised,significance,1
significance,everyday,1
everyday,events,1
events,example,1
example,thinking,1
thinking,newspaper,1
newspaper,headline,1
headline,secret,1
secret,messages,1
messages,person,1
antisocial,personality,1
sees,people,1
vulnerable,means,1
means,may,1
intimidate,bully,1
bully,others,1
remorse,Symptoms,1
bordering,personality,1
bordering,narcissistic,1
histrionic,personality,1
anxious,ignored,1
ignored,result,1
result,feel,1
feel,overwhelming,1
overwhelming,urge,1
urge,noticed,1
urge,centre,1
noticed,also,1
centre,everyone,1
everyone,attention,1
attention,Features,1
Features,include,1
signs,may,1
coexist,bordering,1
narcissistic,personality,2
swing,may,1
act,inflated,1
inflated,sense,1
sense,importance,1
importance,may,1
show,intense,1
show,excessive,1
intense,need,1
look,symptoms,1
look,cling,1
symptoms,include,1
avoiding,personality,1
Unlike,people,1
desire,close,1
relationships,others,1
However,lack,1
lack,confidence,1
confidence,ability,1
ability,form,1
form,person,1
dependent,personality,1
independent,may,1
excessive,need,1
cling,features,1
obsessive,convulsive,2
convulsive,personality,1
convulsive,disorder,1
come,across,1
across,others,1
control,freak,1
freak,features,1
