Source,Target,Weight
Some,Illnesses,1
Illnesses,conditions,1
conditions,Cancer,1
conditions,affect,1
Cancer,Cancer,1
Cancer,types,1
Cancer,Research,2
Cancer,Recognition,1
types,adults,1
types,tissue,1
types,senile,3
adults,Senile,1
Senile,cancer,2
cancer,Senile,1
cancer,rare,1
cancer,occurs,1
cancer,cases,1
cancer,including,1
cancer,penis,2
cancer,could,1
cancer,depend,1
cancer,developed,1
cancer,include,1
cancer,cause,1
cancer,known,1
cancer,virus,1
cancer,Chemicals,1
cancer,weaken,1
cancer,of,1
cancer,2015,1
cancer,refer,1
cancer,read,1
cancer,may,1
rare,type,1
type,cancer,1
type,senile,1
type,cell,1
occurs,skin,1
occurs,men,1
skin,penis,1
penis,within,1
penis,last,1
penis,need,1
penis,made,1
penis,condition,1
penis,40,1
penis,aged,1
penis,increases,1
penis,phimosis,1
penis,signs,1
within,penis,1
last,30,1
30,years,1
years,number,1
years,age,1
number,senile,1
number,deaths,1
senile,cancer,16
cases,increased,1
increased,20,1
increased,risk,1
20,possibly,1
possibly,due,1
due,changes,1
changes,sexual,1
sexual,practices,1
practices,However,1
However,improvements,1
improvements,diagnosis,1
diagnosis,staying,1
staying,treatment,1
treatment,led,1
treatment,penis,1
led,similar,1
similar,reduction,1
reduction,number,1
deaths,resulting,1
resulting,condition,1
condition,aware,1
condition,rarely,1
condition,Conditions,1
aware,abnormalities,1
abnormalities,signs,1
signs,senile,3
signs,symptoms,1
including,experience,1
experience,symptoms,1
symptoms,important,1
symptoms,occur,1
symptoms,senile,1
symptoms,check,1
important,checked,1
checked,of,1
of,soon,1
of,webster,2
of,ask,1
of,suspects,1
soon,possible,1
possible,unlikely,1
unlikely,caused,1
caused,cancer,1
need,investigated,1
investigated,delay,1
delay,diagnosing,1
diagnosing,senile,1
could,reduce,1
reduce,chances,1
chances,successful,1
chances,getting,1
chances,developing,1
successful,treatment,1
made,many,1
many,different,1
different,types,2
tissue,type,1
depend,type,1
cell,cancer,1
developed,common,1
common,types,1
include,Cancer,1
Research,of,2
webster,information,2
information,different,1
information,risks,1
cause,senile,1
known,certain,1
certain,risk,1
risk,factors,1
risk,developing,2
risk,factor,1
risk,getting,1
factors,increase,1
increase,chances,2
getting,Men,1
getting,condition,1
Men,carry,1
carry,human,1
human,papilloma,1
papilloma,virus,1
virus,HPV,1
virus,causes,1
HPV,increased,1
developing,senile,1
developing,infections,1
developing,types,1
causes,genital,1
causes,senile,1
genital,warts,1
warts,Age,1
Age,also,1
also,risk,1
also,examine,1
also,check,1
factor,cancer,1
factor,associated,1
rarely,affects,1
affects,men,1
men,anyone,2
anyone,penis,2
40,years,1
age,commonly,1
commonly,occurs,1
aged,60,1
60,Smoking,1
Smoking,significant,1
significant,lifestyle,1
lifestyle,factor,1
associated,senile,1
Chemicals,found,1
found,cigarettes,1
cigarettes,damage,1
damage,cells,1
cells,penis,1
increases,risk,1
Conditions,affect,1
affect,penis,1
affect,urinary,1
phimosis,makes,1
makes,foreseen,1
foreseen,difficult,1
difficult,retract,1
retract,increase,1
infections,balanitis,1
infections,linked,1
balanitis,Repeated,1
Repeated,infections,1
linked,higher,1
higher,risk,1
weaken,immune,1
immune,system,1
system,Cancer,1
system,genitals,1
risks,causes,1
ask,symptoms,2
occur,also,1
examine,penis,1
2015,National,1
2015,guideline,1
National,Institute,1
Institute,Health,1
Health,Are,1
Are,Excellence,1
Excellence,NICE,1
NICE,published,1
NICE,2015,1
published,guideline,1
guideline,help,1
guideline,Suspected,1
help,was,1
was,recognise,1
recognise,signs,1
refer,people,1
refer,specialist,1
people,right,1
right,tests,1
tests,faster,1
tests,suspected,1
faster,find,1
find,referred,1
referred,tests,1
suspected,senile,1
read,NICE,1
Suspected,Cancer,1
Recognition,Referral,1
Referral,of,1
suspects,senile,1
may,refer,1
may,also,1
specialist,usually,1
specialist,ask,1
usually,urologist,1
urologist,doctor,1
doctor,specialised,1
specialised,conditions,1
urinary,system,1
genitals,specialist,1
check,medical,1
check,physical,1
medical,history,1
history,may,1
physical,signs,1
