Source,Target,Weight
Some,Illnesses,1
Illnesses,conditions,1
conditions,Brain,1
conditions,affecting,1
Brain,nerves,1
nerves,spinal,1
nerves,body,1
nerves,affected,1
nerves,lie,1
nerves,specific,1
nerves,type,1
nerves,damaged,1
spinal,cord,2
cord,Peripheral,1
cord,includes,1
Peripheral,neuropathic,3
neuropathic,Peripheral,1
neuropathic,develops,1
neuropathic,peripheral,1
neuropathic,recommended,1
neuropathic,people,1
neuropathic,diagnosed,1
neuropathic,of,1
neuropathic,time,1
neuropathic,also,1
neuropathic,may,1
neuropathic,Treatment,1
neuropathic,depends,1
neuropathic,treated,2
neuropathic,pain,1
neuropathic,outlook,1
neuropathic,varies,1
develops,nerves,1
body,extremities,1
extremities,hands,1
hands,feet,1
feet,arms,1
arms,damaged,1
damaged,symptoms,1
damaged,cases,1
symptoms,depend,1
symptoms,include,1
symptoms,usually,1
symptoms,peripheral,1
symptoms,may,2
symptoms,underlying,1
depend,nerves,1
affected,of,1
affected,degree,1
affected,foot,1
of,estimated,1
of,ask,1
of,diabetes,1
estimated,almost,1
almost,1,1
1,10,1
1,type,1
10,people,1
people,aged,1
people,highest,1
people,diabetes,1
people,damage,1
aged,55,1
55,affected,1
degree,peripheral,1
peripheral,neuropathic,12
peripheral,nervous,1
nervous,system,3
system,network,1
system,brain,1
system,Generally,1
network,nerves,1
lie,outside,1
outside,central,1
central,nervous,1
brain,spinal,1
includes,different,1
different,types,1
types,nerves,1
specific,functions,1
functions,including,1
including,main,1
main,symptoms,1
include,symptoms,1
usually,constant,1
constant,may,1
may,come,1
may,arrange,1
may,referred,1
may,regular,1
may,help,1
may,treated,1
may,need,1
may,involve,1
may,improve,1
may,permanent,1
may,get,1
may,risk,1
may,mean,1
come,go,1
go,Head,1
Head,symptoms,1
Head,diagnosing,1
Head,causes,1
Head,treating,1
recommended,people,1
highest,risk,1
risk,peripheral,2
risk,developing,1
diabetes,regular,1
diabetes,type,1
diabetes,damage,1
diabetes,may,1
regular,checkup,2
checkup,of,1
checkup,nerve,1
ask,symptoms,1
arrange,tests,1
tests,help,1
help,identify,1
help,gain,1
identify,underlying,1
underlying,cause,5
underlying,causes,1
cause,may,1
cause,peripheral,2
cause,underlying,1
cause,nerves,1
cause,treated,1
referred,hospital,1
hospital,see,1
see,neurologist,1
neurologist,specialist,1
specialist,conditions,1
affecting,nervous,1
Generally,sooner,1
sooner,peripheral,1
diagnosed,better,1
better,chance,1
better,control,1
chance,limiting,1
limiting,damage,1
damage,preventing,1
damage,nerves,1
damage,known,1
damage,may,1
preventing,complications,1
complications,Head,1
complications,foot,1
diagnosing,peripheral,1
type,1,1
type,2,1
type,nerve,1
2,common,1
common,cause,1
time,high,1
time,underlying,2
high,blood,1
blood,sugar,2
sugar,levels,1
sugar,level,1
levels,associated,1
associated,diabetes,1
nerve,damage,1
nerve,function,1
known,diabetic,1
known,increased,1
diabetic,polyneuropathy,1
polyneuropathy,Peripheral,1
also,wide,1
wide,range,1
range,causes,1
causes,example,1
causes,peripheral,1
causes,neuropathic,1
example,caused,1
example,diabetes,1
example,treatment,1
caused,People,1
People,known,1
increased,risk,1
function,possessed,1
possessed,Head,1
Treatment,peripheral,1
depends,symptoms,1
treated,example,1
treated,prescribed,1
treated,individually,1
treated,whereas,1
treated,may,1
gain,better,1
control,blood,1
level,stop,1
stop,smoking,1
smoking,cut,1
cut,alcohol,1
alcohol,Nerve,1
Nerve,pain,1
pain,may,1
pain,agents,1
prescribed,meditations,1
meditations,called,1
called,neuropathic,1
agents,standard,1
standard,painkillers,1
painkillers,often,1
often,ineffective,1
ineffective,symptoms,1
need,treated,1
individually,example,1
treatment,muscle,1
muscle,weakness,1
weakness,may,1
involve,physiotherapy,1
physiotherapy,use,1
use,walking,1
walking,aids,1
aids,Head,1
treating,peripheral,1
outlook,peripheral,1
varies,depending,1
depending,underlying,1
cases,may,2
improve,time,1
whereas,people,1
permanent,may,1
get,gradually,1
gradually,worse,1
worse,time,1
developing,potentially,1
potentially,serious,1
serious,complications,1
foot,ulcer,1
foot,amputated,1
ulcer,becomes,1
becomes,infected,1
infected,lead,1
lead,gangrene,1
gangrene,tissue,1
tissue,death,1
death,untreated,1
untreated,severe,1
severe,cases,1
mean,affected,1
